Table,Column,Data Type,Null Count,Percent Populated,Distinct Values,Duplicate Values,Minimum Value,Maximum Value,Max String Length,Sample Value
user_referrals,referral_at,str,0,100.0,44,2,2024-03-08T11:31:24Z,2024-05-24T04:57:33Z,20.0,2024-05-01T05:17:31Z
user_referrals,referral_id,str,0,100.0,46,0,1f44ffca9257eefe62892409bce4b704,fcb804c8ff24e5b2974a7e965ebea5e8,32.0,9331c8f144dad5a3b8e4a10467b4343a
user_referrals,referee_id,str,3,93.48,37,8,04aec3adea13099cb24c4cc784f05f3d,f6507a982bde1dcda0ce0867ceac66f6,32.0,f1327c9d6d4efee6ad69e7e467b605b9
user_referrals,referee_name,str,3,93.48,35,10,069396bf68713451107ed621971b8fd3,feb4d885f99957d87b2e8eb1fd05b193,32.0,8ef43a9189c084778dadf266d6ee6071
user_referrals,referee_phone,str,0,100.0,33,13,0520c1cc85cbd43be086d6067e316e39,ff6a10e68ce4c4a56e3c19238619f828,32.0,5ba638fed7578e677c7600f1038f1b77
user_referrals,referral_reward_id,float64,38,17.39,3,42,1.0,3.0,3.0,2.0
user_referrals,referral_source,str,0,100.0,3,43,Draft Transaction,User Sign Up,17.0,Draft Transaction
user_referrals,referrer_id,str,13,71.74,13,32,192befbbd8b97260e28db080a661578c,f2de40c8394f4ea9a6aa49965380dd8f,32.0,2c71c5d66c7e12a0b3c200ba6ed3b78e
user_referrals,transaction_id,str,13,71.74,27,18,07f21743663aacb7d212c286d47a14de,f192fca27d438c053db425fade152d66,32.0,bc3a22d1b0c651d0c807a9bdaed08e8d
user_referrals,updated_at,str,0,100.0,40,6,2024-04-29T04:04:15Z,2024-05-24T04:57:33Z,20.0,2024-05-01T05:17:31Z
user_referrals,user_referral_status_id,int64,0,100.0,3,43,1,3,1.0,1
user_referral_statuses,id,int64,0,100.0,3,0,1,3,1.0,1
user_referral_statuses,description,str,0,100.0,3,0,Berhasil,Tidak Berhasil,14.0,Menunggu
user_referral_statuses,created_at,str,0,100.0,2,1,2024-03-08T08:49:37Z,2024-03-08T10:07:10Z,20.0,2024-03-08T08:49:37Z
user_referral_logs,id,int64,0,100.0,96,0,1,96,2.0,1
user_referral_logs,user_referral_id,str,0,100.0,78,18,119330b602a0e3bc0b66487b6c53ec19,ffea2078bee21f79f199256757e5d578,32.0,433df86639089a01ce358b27aebdf19f
user_referral_logs,source_transaction_id,str,79,17.71,17,78,0d5745a60be9f0d9163c99c91fd61efc,de0d476b360046c0d079d5f8fcb77c00,32.0,aa7f55497ab7a5842145c6c58e1395c2
user_referral_logs,created_at,str,0,100.0,96,0,2024-03-08T11:33:50Z,2024-07-10T08:51:11Z,20.0,2024-06-02T20:42:09Z
user_referral_logs,is_reward_granted,bool,0,100.0,2,94,False,True,5.0,False
user_logs,id,int64,0,100.0,29,0,1,29,2.0,1
user_logs,user_id,str,0,100.0,9,20,192befbbd8b97260e28db080a661578c,f2de40c8394f4ea9a6aa49965380dd8f,32.0,d0a0d9ca8dc4f47226a8afd32ee2a848
user_logs,name,str,0,100.0,7,22,003609f9b658dc89cd16d904783834d4,ec55b0c6b4cf5e7e08ddcfbc0465b796,32.0,49452c26f7b12cd571bd598a0128819e
user_logs,phone_number,str,0,100.0,9,20,488b1d38c3a3d84ab9839886acecf5e0,f495c5b0268d9896b8478ab32bfa02eb,32.0,f495c5b0268d9896b8478ab32bfa02eb
user_logs,homeclub,str,0,100.0,6,23,ADITYAWARMAN,SUNSET ROAD,19.0,BENHIL
user_logs,timezone_homeclub,str,0,100.0,2,27,Asia/Jakarta,Asia/Makassar,13.0,Asia/Jakarta
user_logs,membership_expired_date,str,0,100.0,9,20,1/15/2026,9/21/2025,9.0,9/2/2024
user_logs,is_deleted,bool,0,100.0,2,27,False,True,5.0,True
referral_rewards,id,int64,0,100.0,3,0,1,3,1.0,1
referral_rewards,reward_value,str,0,100.0,3,0,10 days,20 days,7.0,10 days
referral_rewards,created_at,str,0,100.0,3,0,2024-03-13T02:44:32Z,2024-03-13T02:45:15Z,20.0,2024-03-13T02:44:32Z
referral_rewards,reward_type,int64,0,100.0,1,2,1,1,1.0,1
paid_transactions,transaction_id,str,0,100.0,14,0,07f21743663aacb7d212c286d47a14de,f192fca27d438c053db425fade152d66,32.0,1d1eb8a9e864a1cccb2d850398461807
paid_transactions,transaction_status,str,0,100.0,1,13,PAID,PAID,4.0,PAID
paid_transactions,transaction_at,str,0,100.0,14,0,2024-05-01T05:07:30.374Z,2024-05-21T09:47:11.535Z,24.0,2024-05-02T04:49:01.497Z
paid_transactions,transaction_location,str,0,100.0,6,8,ADITYAWARMAN,SUNSET ROAD,19.0,ARTERI PONDOK INDAH
paid_transactions,timezone_transaction,str,0,100.0,2,12,Asia/Jakarta,Asia/Makassar,13.0,Asia/Jakarta
paid_transactions,transaction_type,str,0,100.0,2,12,NEW,REJOIN,6.0,NEW
lead_log,id,int64,0,100.0,8,0,1,8,1.0,1
lead_log,lead_id,str,0,100.0,5,3,08b8ab0371b6a0cb79319628505c446c,c50f607bbae83f7c53551476e11997eb,32.0,774656feb3119be1d8d6d893429c7cc0
lead_log,source_category,str,0,100.0,2,6,Offline,Online,7.0,Online
lead_log,created_at,str,0,100.0,5,3,2024-01-31T08:53:22.403Z,2024-05-13T06:38:58.322Z,24.0,2024-05-13T06:38:58.322Z
lead_log,preferred_location,str,0,100.0,3,5,ADITYAWARMAN,GAJAH MADA,12.0,GAJAH MADA
lead_log,timezone_location,str,0,100.0,1,7,Asia/Jakarta,Asia/Jakarta,12.0,Asia/Jakarta
lead_log,current_status,str,0,100.0,5,3,Appointment,Warm,11.0,Fresh
